Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Den,Rep,Mark
弹幕,2,30,6.5,1.66,1.715,0.248,0.0,1
卖号,2,29,6.1,1.242,1.593,0.207,1.0,1
b站,2,26,4.2,2.351,2.186,0.215,0.0,1
视频,2,25,6.8,2.442,1.938,0.207,0.0,1
牛皮,2,25,4.9,1.475,1.242,0.174,1.0,0
这个,2,25,4.4,2.098,3.075,0.207,0.0,0
可以,2,24,6.0,1.969,2.056,0.19,0.3333333333333333,0
篮球,2,20,6.6,1.277,1.858,0.149,0.0,0
粉丝,2,16,7.1,1.767,2.305,0.132,0.0,1
走位,2,15,6.6,1.33,1.561,0.099,0.6666666666666666,-1
侮辱,2,14,7.5,1.845,1.27,0.116,0.0,0
就是,2,13,4.1,1.768,1.951,0.107,0.0,0
已经,2,13,6.4,1.609,1.992,0.099,0.0,0
赶紧,2,12,7.5,1.33,2.095,0.099,0.0,0
硬币,2,12,6.8,1.468,1.594,0.099,0.0,1
会员,2,11,6.3,1.498,1.667,0.091,0.0,0
大家,2,10,5.4,1.386,1.748,0.083,0.0,0
点赞,2,10,5.6,1.494,1.906,0.083,0.0,1
他们,2,10,5.7,1.465,1.465,0.058,0.0,0
考试,2,9,7.1,1.906,1.56,0.074,0.0,0
好像,2,9,4.3,1.213,1.581,0.074,0.0,0
骚话,2,9,5.7,1.475,1.55,0.074,0.0,-1
下载,2,8,6.1,1.55,1.386,0.058,0.0,-1
卢本伟,3,63,5.3,1.947,2.175,0.521,0.0,1
蔡徐坤,3,54,5.7,2.47,3.137,0.438,0.0,1
老番茄,3,50,4.8,1.386,1.792,0.413,0.0,1
毒龙钻,3,42,5.9,1.375,2.25,0.347,0.0,-1
卢姥爷,3,41,5.2,2.165,2.59,0.331,0.0,1
大司马,3,33,5.4,1.45,2.157,0.273,0.0,-1
小天使,3,31,6.2,1.636,1.899,0.256,0.0,-1
up主,3,16,5.6,2.043,2.303,0.132,0.0,1
cxk,3,11,6.1,1.494,1.475,0.091,0.0,1
打篮球,3,10,5.8,1.359,1.475,0.066,0.0,1
老番茄,3,44,4.0,1.611,2.623,0.206,0.0,1
欠费,2,162,5.4,2.03,1.524,1.298,0.0,1
调音,2,157,5.2,2.159,1.962,1.242,0.0,1
封面,2,143,5.5,2.374,2.995,1.153,0.0,0
魔鬼,2,81,5.7,1.768,2.429,0.629,1.0,0
这个,2,78,5.0,2.702,2.855,0.613,0.0,0
害怕,2,65,6.2,1.748,1.733,0.508,1.0,0
什么,2,49,6.2,2.09,2.84,0.395,0.0,0
天才,2,48,5.6,1.411,1.743,0.387,0.0,0
up,2,37,6.2,2.106,1.746,0.298,0.0,1
负债,2,31,6.7,1.748,1.605,0.226,0.0,1
可爱,2,29,5.7,2.223,1.757,0.234,0.0,0
不行,2,29,5.0,1.79,1.895,0.218,0.5,0
怎么,2,24,6.2,1.587,2.019,0.185,0.0,0
声音,2,23,4.3,1.386,2.009,0.185,0.0,0
真的,2,22,4.2,2.11,2.467,0.177,0.0,0
循环,2,21,7.6,1.93,1.609,0.169,0.0,0
好听,2,20,4.5,1.61,1.54,0.153,0.0,0
没有,2,17,4.6,1.242,1.2,0.137,0.0,0
有点,2,16,5.0,2.144,1.977,0.129,0.0,0
老板,2,15,6.5,1.475,1.866,0.121,0.0,0
还是,2,15,4.5,1.772,2.338,0.121,0.0,0
人才,2,13,4.6,1.475,1.33,0.097,0.5,0
起来,2,11,4.3,1.367,1.303,0.089,0.0,0
东西,2,11,6.7,1.846,1.946,0.089,0.0,0
迪奥,2,9,7.4,1.609,1.946,0.065,0.0,-1
这里,2,9,4.6,1.242,1.523,0.073,0.0,0
已经,2,8,7.5,1.475,1.906,0.065,0.0,0
那个,2,8,4.6,1.561,1.906,0.065,0.0,0
就是,2,8,4.2,1.733,1.906,0.065,0.0,0
dio,3,121,4.8,3.265,3.338,0.96,0.0,-1
调音师,3,56,5.4,1.578,2.393,0.452,0.0,1
典明粥,3,43,6.6,1.906,2.095,0.347,0.0,-1
托比欧,3,31,5.9,1.373,2.088,0.234,0.0,-1
的声音,3,13,4.3,1.925,1.696,0.105,0.0,-1
dio爷,4,16,5.4,2.043,2.639,0.129,0.0,1
葫芦,2,35,5.5,2.326,1.942,0.0,0.0,0
童年,2,15,6.2,1.213,1.946,0.0,0.0,0
tm,2,12,5.2,1.609,2.098,0.0,0.0,-1
什么,2,8,6.5,1.561,2.079,0.0,0.0,0
妖怪,2,8,6.9,1.748,1.748,0.0,0.0,1
马老师,3,22,5.1,1.475,2.698,0.0,0.0,1
马保国,3,13,4.8,1.733,1.386,0.0,0.0,1
葫芦娃,3,9,5.1,1.332,1.609,0.0,0.0,1
泪目,2,3271,4.6,2.614,2.124,20.166,0.0623324396782841,1
天依,2,3111,4.4,1.22,1.406,7.535,1.0,1
殿下,2,1117,5.4,1.579,2.836,6.752,0.0,1
一遍,2,860,4.4,1.485,2.307,5.376,0.0,-1
弹幕,2,681,5.5,2.409,4.019,4.236,0.0,1
up,2,619,4.9,2.601,2.079,3.924,0.0006702412868632,1
好听,2,579,5.1,2.793,2.045,2.93,0.0120643431635388,0
鬼畜,2,479,6.4,2.502,2.781,2.529,0.0,1
百万,2,474,5.7,1.698,1.34,2.752,0.0,0
ng,2,387,4.0,1.221,1.237,1.025,0.0,-1
表白,2,372,6.4,3.221,3.237,2.306,0.0,1
回来,2,345,4.9,1.324,1.355,2.057,0.0,0
什么,2,234,6.1,1.967,3.668,1.465,0.0006702412868632,0
硬币,2,220,6.6,1.599,2.276,1.401,0.0,1
老婆,2,210,6.4,1.838,2.233,1.045,0.0294906166219839,0
面筋,2,208,6.9,1.75,1.481,0.987,0.0147453083109919,1
贝爷,2,203,7.1,2.728,3.364,1.185,0.010053619302949,1
b站,2,193,5.5,2.447,1.823,1.223,0.0,1
那个,2,189,4.6,2.793,2.745,1.127,0.0,0
人才,2,166,5.3,2.241,1.754,1.032,0.0020107238605898,0
调音,2,136,6.3,1.391,1.213,0.866,0.0,1
考古,2,123,7.6,1.614,1.676,0.758,0.002680965147453,0
就是,2,120,4.2,2.504,3.018,0.72,0.0006702412868632,0
快乐,2,115,6.3,1.866,2.043,0.631,0.0,0
领袖,2,113,7.7,1.388,2.126,0.713,0.0,0
怎么,2,109,6.1,2.566,3.492,0.682,0.0,0
第一,2,109,4.5,1.408,1.623,0.656,0.0,0
还是,2,106,4.3,2.022,2.97,0.669,0.0,0
投币,2,103,6.1,2.636,2.64,0.605,0.0033512064343163,1
知道,2,101,7.5,1.516,2.748,0.637,0.0,0
可以,2,101,6.3,3.104,3.063,0.611,0.0033512064343163,0
字幕,2,91,5.3,2.119,2.621,0.567,0.0,1
都是,2,87,4.4,2.609,2.939,0.554,0.0,-1
莫名,2,80,7.0,2.48,2.344,0.51,0.0,1
永远,2,80,7.9,1.995,2.46,0.478,0.0020107238605898,0
没有,2,79,4.7,3.145,3.546,0.484,0.0,0
歌词,2,79,5.2,2.153,2.929,0.503,0.0,0
优秀,2,78,6.6,2.543,1.73,0.478,0.0006702412868632,0
已经,2,78,6.7,2.068,3.08,0.497,0.0,0
感动,2,78,4.3,2.707,2.264,0.497,0.0,0
出来,2,75,4.2,2.403,1.942,0.471,0.0,0
老子,2,70,5.0,1.589,1.558,0.236,0.0,0
名单,2,67,6.6,1.843,1.733,0.42,0.0,0
这里,2,65,4.9,1.251,3.073,0.401,0.0013404825737265,0
千万,2,61,5.2,1.973,1.972,0.389,0.0,0
发现,2,57,6.3,1.794,1.923,0.363,0.0,0
cx,2,55,4.4,2.025,1.304,0.331,0.0,-1
朋友,2,54,7.6,1.968,1.858,0.248,0.0,0
七夕,2,54,8.6,1.946,1.298,0.331,0.0,-1
巡山,2,53,7.5,1.207,1.474,0.338,0.0,-1
不错,2,53,4.0,2.645,1.89,0.325,0.0013404825737265,0
感觉,2,51,6.5,1.632,3.205,0.325,0.0,0
颜色,2,51,5.3,2.445,2.41,0.318,0.0006702412868632,0
zy,2,50,4.1,2.013,2.295,0.318,0.0,-1
有点,2,48,4.2,2.868,2.833,0.306,0.0,0
视频,2,44,8.6,2.268,2.629,0.28,0.0,1
自己,2,43,6.6,2.741,2.639,0.268,0.0,0
突然,2,43,7.5,2.079,2.983,0.274,0.0,0
诸葛,2,43,7.3,2.095,1.669,0.255,0.0,1
各位,2,42,7.6,2.035,2.763,0.268,0.0,0
大佬,2,42,6.4,2.523,2.728,0.261,0.0006702412868632,1
循环,2,42,9.0,2.152,2.038,0.255,0.0,0
陛下,2,41,5.5,1.616,1.667,0.248,0.0006702412868632,0
开始,2,40,6.7,2.404,1.974,0.255,0.0,0
大家,2,40,5.7,2.047,1.249,0.255,0.0,0
承包,2,40,8.8,1.642,2.316,0.255,0.0,0
押韵,2,39,8.0,2.311,2.037,0.242,0.0,1
兄弟,2,39,8.0,2.21,1.588,0.248,0.0,0
终于,2,38,7.1,1.427,2.777,0.236,0.0,0
看到,2,37,4.4,2.264,2.705,0.236,0.0,0
时候,2,36,7.5,1.561,2.14,0.229,0.0,0
原唱,2,36,6.6,1.682,2.505,0.223,0.0,1
名字,2,34,5.3,1.474,2.231,0.217,0.0,0
谢谢,2,33,6.8,1.285,1.66,0.21,0.0,0
一直,2,32,4.3,1.586,2.444,0.204,0.0,0
抱走,2,32,7.7,1.414,1.774,0.197,0.0006702412868632,1
现在,2,31,4.8,2.138,2.948,0.191,0.0,0
人员,2,31,5.2,1.316,1.703,0.185,0.0,0
原版,2,31,7.7,1.85,2.42,0.197,0.0,1
百合,2,30,4.8,1.303,1.735,0.191,0.0,1
屏蔽,2,30,8.1,2.01,2.075,0.166,0.0,1
一样,2,28,4.3,1.642,1.733,0.166,0.0013404825737265,0
蓝色,2,26,4.1,1.802,2.274,0.166,0.0,0
准备,2,26,8.9,2.523,1.58,0.153,0.0,0
周某,2,25,7.7,1.889,1.677,0.146,0.0013404825737265,1
zx,2,25,4.4,1.818,2.148,0.146,0.0,-1
一边,2,25,4.2,1.843,1.475,0.14,0.0,0
觉得,2,23,5.8,2.176,2.548,0.146,0.0,0
无限,2,23,6.8,1.748,1.363,0.146,0.0,0
蓝字,2,22,5.0,1.667,2.395,0.14,0.0,1
注意,2,22,7.6,1.657,1.778,0.096,0.002680965147453,0
推荐,2,22,9.2,1.979,1.908,0.134,0.0,0
说出,2,22,4.7,2.313,1.3,0.14,0.0,0
因为,2,21,5.7,1.386,2.224,0.108,0.0,0
伤感,2,21,6.5,1.538,1.609,0.134,0.0,0
初音,2,21,5.2,1.494,1.836,0.134,0.0,-1
进来,2,20,4.1,2.084,1.706,0.127,0.0,0
收藏,2,20,7.8,2.164,1.965,0.127,0.0,0
这段,2,19,4.7,1.667,2.364,0.121,0.0,-1
多少,2,19,6.3,2.009,1.457,0.121,0.0,0
东西,2,18,8.5,1.588,1.561,0.115,0.0,0
分手,2,17,5.6,2.206,1.906,0.083,0.0,0
原曲,2,17,6.7,2.206,1.906,0.102,0.0,1
在哪,2,17,5.6,2.523,1.35,0.108,0.0,-1
竟然,2,16,7.5,1.667,2.311,0.102,0.0,0
红字,2,16,5.5,1.792,2.431,0.102,0.0,-1
手机,2,16,7.3,1.885,2.045,0.102,0.0,1
如此,2,16,5.3,1.45,1.679,0.102,0.0,0
希望,2,16,9.0,1.581,1.379,0.102,0.0,0
唯一,2,15,4.6,1.418,1.909,0.096,0.0,0
单身,2,15,6.8,1.834,1.234,0.096,0.0,1
丞相,2,14,7.8,1.386,1.609,0.089,0.0,1
超级,2,14,5.0,1.386,1.992,0.089,0.0,0
完美,2,14,5.5,1.846,1.792,0.089,0.0,0
全部,2,14,6.9,1.359,2.206,0.089,0.0,0
感情,2,14,4.3,1.748,1.561,0.089,0.0,0
关注,2,13,7.1,2.079,1.831,0.083,0.0,0
不住,2,13,4.5,1.631,2.079,0.083,0.0,0
笑死,2,13,5.4,1.55,1.215,0.083,0.0,1
见证,2,13,4.6,1.386,1.887,0.083,0.0,1
言和,2,13,6.8,1.386,1.748,0.083,0.0,-1
应该,2,13,8.0,1.889,2.032,0.083,0.0,0
妈妈,2,12,7.8,1.792,1.215,0.076,0.0,0
找到,2,12,6.1,2.02,1.887,0.076,0.0,0
时间,2,12,6.2,1.973,1.972,0.076,0.0,0
肯定,2,12,8.1,1.894,1.82,0.076,0.0,0
抖音,2,12,6.0,1.295,1.834,0.076,0.0,1
点赞,2,12,6.2,2.079,1.33,0.076,0.0,1
失恋,2,11,6.9,1.303,1.303,0.07,0.0,-1
好像,2,11,4.3,1.889,1.973,0.07,0.0,0
非常,2,11,8.0,1.386,2.02,0.07,0.0,0
施工,2,10,6.8,1.581,1.242,0.064,0.0,0
恋爱,2,10,4.5,2.043,1.667,0.064,0.0,0
里面,2,10,4.3,1.748,1.332,0.051,0.0,0
感触,2,10,7.0,1.386,1.277,0.064,0.0,-1
小时,2,10,4.2,1.677,1.906,0.064,0.0,0
qq,2,10,4.5,1.475,1.321,0.045,0.0006702412868632,-1
孤独,2,9,8.6,1.609,1.277,0.057,0.0,0
电脑,2,9,5.0,1.609,2.197,0.057,0.0,0
翻译,2,9,9.5,1.906,2.079,0.051,0.0,0
三次,2,9,4.9,1.523,1.609,0.057,0.0,-1
这些,2,9,4.5,1.475,2.043,0.057,0.0,0
守护,2,9,7.7,1.667,1.55,0.051,0.0,1
不够,2,8,4.6,1.277,1.748,0.051,0.0,0
英文,2,8,7.1,1.561,1.494,0.051,0.0,0
结婚,2,8,8.9,1.748,1.792,0.051,0.0,0
up主,3,306,5.2,2.134,2.915,1.943,0.0,1
洛天依,3,274,4.4,1.972,2.373,1.159,0.0328418230563002,1
音乐区,3,209,6.6,2.209,2.152,1.331,0.0,1
为什么,3,122,5.1,1.359,2.991,0.764,0.0,0
面筋哥,3,100,6.5,2.616,3.239,0.631,0.0,1
表白墙,3,95,6.5,1.418,1.748,0.605,0.0,1
波澜哥,3,73,6.7,2.507,2.938,0.439,0.0,1
乐正绫,3,69,5.7,1.443,1.942,0.21,0.0073726541554959,-1
骑士团,3,44,8.3,1.359,1.806,0.268,0.0,-1
对不起,3,39,6.9,2.095,2.144,0.229,0.0006702412868632,0
一个人,3,35,4.3,1.942,1.884,0.223,0.0,-1
小钻风,3,33,7.0,1.768,1.889,0.178,0.0,1
全明星,3,30,7.7,1.58,2.243,0.191,0.0,1
鬼畜区,3,29,4.4,2.069,2.653,0.185,0.0,1
卢本伟,3,27,8.9,1.561,1.977,0.172,0.0,1
王司徒,3,24,7.5,1.277,1.846,0.14,0.0,1
关弹幕,3,23,5.1,1.535,1.433,0.146,0.0,-1
在这里,3,22,5.3,2.069,2.003,0.14,0.0,-1
这首歌,3,21,5.6,2.599,2.398,0.121,0.0,1
蔡徐坤,3,21,9.1,1.33,1.316,0.134,0.0,1
qaq,3,20,7.4,1.631,1.242,0.127,0.0,-1
条弹幕,3,16,5.6,1.667,1.792,0.102,0.0,-1
字幕君,3,15,6.6,1.992,2.079,0.083,0.0,1
这么多,3,14,5.5,1.55,1.772,0.083,0.0,-1
网易云,3,14,9.1,1.748,2.023,0.083,0.0,1
这一段,3,12,5.2,1.889,1.792,0.076,0.0,-1
挡字幕,3,12,5.9,1.667,1.748,0.076,0.0,1
王境泽,3,10,7.5,1.748,2.197,0.064,0.0,1
就可以,3,8,4.1,1.733,1.494,0.051,0.0,-1
在一起,3,8,4.7,1.906,1.609,0.051,0.0,-1
暂停成功,4,592,6.1,1.561,1.561,3.752,0.0013404825737265,1
高级弹幕,4,308,6.0,3.398,3.111,1.936,0.0,1
自动变色,4,246,6.3,1.561,1.332,1.554,0.0013404825737265,1
百万填词,4,184,5.8,1.609,2.076,1.159,0.0006702412868632,1
亿万填词,4,113,5.1,1.332,1.303,0.72,0.0,1
弹幕怎么,4,21,5.5,1.767,1.727,0.134,0.0,1
个小伙伴,4,20,5.7,2.082,1.397,0.127,0.0,1
笑不出来,4,16,5.4,1.367,1.33,0.102,0.0,-1
最后一次,4,13,5.1,1.386,1.332,0.083,0.0,-1
这个视频,4,8,5.5,1.332,1.609,0.051,0.0,-1
有情人终成,5,11,5.7,1.54,1.295,0.07,0.0,-1
钢蛋,2,2202,4.4,3.895,3.503,0.0,0.25,-1
崔西,2,1898,4.7,4.275,4.121,0.0,0.5,1
声音,2,1270,4.7,2.522,2.819,0.0,0.0,0
可爱,2,818,4.6,2.116,2.19,0.0,0.125,0
某幻,2,688,5.6,3.203,3.0,0.0,0.0,1
国人,2,598,4.6,1.276,3.655,0.0,0.0,0
大哥,2,518,4.9,3.468,3.919,0.0,0.375,0
英语,2,494,5.3,3.373,3.819,0.0,0.0,0
什么,2,368,5.7,2.592,3.827,0.0,0.125,0
中文,2,330,5.1,2.641,3.712,0.0,0.0,0
两个,2,330,4.8,2.857,2.835,0.0,0.0,-1
开始,2,298,6.5,2.084,2.46,0.0,0.0,0
老狗,2,292,6.0,2.521,2.685,0.0,0.0,-1
东北,2,234,6.3,2.764,2.498,0.0,0.0,0
口音,2,220,4.2,3.426,3.476,0.0,0.0,0
怎么,2,218,5.6,3.191,3.411,0.0,0.0,0
嘻嘻,2,216,5.7,1.594,1.747,0.0,0.0,0
男孩,2,208,5.5,2.161,1.957,0.0,0.125,0
喜欢,2,200,6.9,2.313,2.616,0.0,0.0,0
英文,2,196,4.6,2.932,3.616,0.0,0.0,0
可以,2,192,4.6,3.165,3.095,0.0,1.0,0
突然,2,188,6.7,1.819,2.855,0.0,0.0,0
孩子,2,186,5.4,1.366,2.798,0.0,0.0,0
女孩,2,170,5.7,2.513,2.221,0.0,0.0,0
猛汉,2,170,7.1,3.099,3.696,0.0,0.0,-1
觉得,2,158,5.9,2.431,2.977,0.0,0.0,0
感觉,2,158,6.2,2.081,3.186,0.0,0.0,0
知道,2,156,6.5,2.196,3.058,0.0,0.0,0
这里,2,150,4.0,2.568,3.579,0.0,0.25,0
那个,2,148,4.3,2.953,3.597,0.0,0.0,0
更新,2,136,6.4,2.616,2.076,0.0,0.0,0
回来,2,136,4.6,2.901,2.327,0.0,0.0,0
猪叫,2,128,6.2,2.606,2.658,0.0,0.0,1
小三,2,124,4.5,1.774,1.952,0.0,0.0,1
一样,2,120,4.3,2.365,2.173,0.0,0.0,0
应该,2,116,7.4,2.854,1.605,0.0,0.0,0
洗牙,2,116,7.2,2.197,2.262,0.0,0.0,-1
钢弹,2,116,4.1,2.968,3.033,0.0,0.0,-1
这样,2,114,4.0,2.525,3.011,0.0,0.0,0
视频,2,108,7.5,2.799,3.209,0.0,0.0,1
朋友,2,106,7.0,1.779,2.403,0.0,0.0,0
弹幕,2,102,6.6,2.908,2.85,0.0,0.0,1
出现,2,102,5.4,1.247,1.215,0.0,0.0,0
出来,2,100,4.4,2.686,2.405,0.0,0.0,0
有点,2,98,4.4,3.09,2.821,0.0,0.0,0
终于,2,96,7.6,2.107,2.56,0.0,0.0,0
心疼,2,94,7.2,1.589,2.13,0.0,0.0,0
翻译,2,92,7.6,3.048,3.237,0.0,0.0,0
时候,2,92,7.3,1.429,3.295,0.0,0.0,0
以为,2,90,4.8,2.496,2.249,0.0,0.0,0
大家,2,84,4.1,1.791,2.51,0.0,0.0,0
网骗,2,82,6.7,1.982,2.752,0.0,0.0,1
20,2,82,4.0,1.889,2.151,0.0,1.0,-1
讲究,2,80,7.3,1.748,1.227,0.0,0.125,0
黑人,2,80,4.6,1.803,2.787,0.0,0.0,0
游戏,2,78,7.8,2.084,2.447,0.0,0.0,0
可怜,2,78,5.3,1.849,2.133,0.0,0.0,0
自己,2,76,7.0,2.838,2.847,0.0,0.0,0
混乱,2,76,7.4,1.838,1.386,0.0,0.0,0
厉害,2,74,7.9,1.992,1.531,0.0,0.5,0
前面,2,72,4.9,1.609,2.51,0.0,0.0,0
这句,2,70,4.0,2.552,2.471,0.0,0.0,-1
发现,2,70,5.8,2.146,2.487,0.0,0.0,0
暴躁,2,68,7.9,2.098,2.21,0.0,0.0,1
青岛,2,68,8.2,1.646,1.643,0.0,0.0,0
up,2,68,4.4,2.382,1.657,0.0,0.0,1
一次,2,66,4.4,2.512,2.834,0.0,0.0,-1
起来,2,64,4.6,2.157,2.629,0.0,0.0,0
表白,2,62,7.2,1.792,1.352,0.0,0.0,1
队友,2,62,6.9,2.472,2.799,0.0,0.0,1
直播,2,60,7.1,2.682,2.5,0.0,0.0,-1
话痨,2,58,6.4,2.112,2.476,0.0,0.0,-1
00,2,58,5.6,1.632,2.311,0.0,0.25,-1
一句,2,58,4.1,1.325,1.55,0.0,0.0,-1
罗恩,2,56,7.1,1.295,2.222,0.0,0.0,-1
三角,2,56,4.7,1.936,2.32,0.0,0.125,0
现在,2,56,4.3,2.322,2.795,0.0,0.0,0
来啦,2,52,4.2,1.961,1.561,0.0,0.125,-1
翠西,2,52,4.7,2.352,2.813,0.0,0.0,-1
来自,2,52,4.2,1.54,1.334,0.0,0.0,0
欺负,2,52,8.3,1.661,1.814,0.0,0.0,0
牛逼,2,52,7.2,2.342,1.696,0.0,0.0,1
再见,2,50,4.1,1.773,1.386,0.0,0.0,0
只有,2,50,4.3,2.458,1.833,0.0,0.0,0
字幕,2,50,6.3,2.756,2.452,0.0,0.0,1
修车,2,48,7.4,2.206,1.4,0.0,0.0,-1
美国,2,48,4.1,1.631,1.94,0.0,0.0,0
世界,2,48,8.2,1.608,1.814,0.0,0.0,0
被骗,2,48,5.2,2.507,1.277,0.0,0.0,-1
意思,2,46,7.3,1.685,2.164,0.0,0.0,0
骗子,2,46,4.5,2.009,2.305,0.0,0.0,0
男生,2,44,4.0,1.264,2.232,0.0,0.5,-1
系列,2,44,8.2,2.413,1.475,0.0,0.0,0
松原,2,44,7.8,1.386,1.259,0.0,0.0,-1
已经,2,42,7.4,2.174,2.846,0.0,0.0,0
自学,2,40,5.3,1.708,1.301,0.0,0.0,0
居然,2,40,6.6,1.277,1.941,0.0,0.0,0
宠溺,2,40,7.6,2.404,2.138,0.0,0.0,-1
分钟,2,40,7.1,1.539,2.369,0.0,0.0,0
疯狂,2,40,7.4,2.043,1.329,0.0,0.0,0
对话,2,38,4.6,1.74,1.946,0.0,0.0,0
第一,2,38,4.0,2.523,1.534,0.0,0.0,0
吃鸡,2,36,5.9,2.396,2.565,0.0,0.0,1
超级,2,36,7.0,2.352,2.322,0.0,0.0,0
小时,2,34,4.1,2.425,1.234,0.0,0.0,0
b站,2,34,5.4,1.925,2.253,0.0,0.0,1
注意,2,34,6.9,1.677,1.581,0.0,0.0,0
原来,2,34,4.5,1.386,2.15,0.0,0.0,0
北京,2,34,6.5,2.339,1.844,0.0,0.0,0
笨蛋,2,34,4.5,1.543,1.242,0.0,0.0,-1
10,2,34,5.1,2.164,1.331,0.0,0.0,-1
录屏,2,34,8.2,1.693,1.643,0.0,0.0,-1
肯定,2,34,7.5,2.095,1.661,0.0,0.0,0
为啥,2,32,4.9,2.025,2.246,0.0,0.0,0
之前,2,32,5.1,2.043,1.965,0.0,0.0,0
坏坏,2,32,6.1,1.594,1.475,0.0,0.125,-1
聊天,2,32,4.5,1.807,1.834,0.0,0.0,0
鼠标,2,32,6.9,1.772,1.523,0.0,0.0,-1
明显,2,30,5.4,2.032,1.859,0.0,0.0,0
三号,2,30,5.3,1.332,2.485,0.0,0.0,-1
莫名,2,30,7.3,1.906,2.523,0.0,0.0,1
性感,2,30,5.8,1.772,1.696,0.0,0.125,-1
韩语,2,30,5.3,2.146,2.303,0.0,0.0,-1
出轨,2,30,6.5,1.303,1.537,0.0,0.0,-1
